review,rating,final_text,sentiment
"kecewa banget sama GoFood!! saya tidak memesan makanan apapun di jam 1 dini hari, bisa-bisanya tiba-tiba ada notif pesanan sedang diantar, cash 58rb sekian, sumpah ngeselin, kalau kayak gini terus boncos, saya uninstall aja aplikasi gojek gak jelas",1,kecewa banget sama gofood tidak mes makan apa jam dini hari bisa tiba tiba notif pesan sedang antar cash rb sekian sumpah ngeselin kalau kayak gin terus boncos uninstall aplikasi gojek tidak jelas,negatif
"saya pernah pesan makanan, tapi pihak resto sudah menyetujui,TPI restonya malah tutup,saya ingin membatalkan pesanan tapi tidak bisa gimana sih padahal udah tutup loh",1,pernah pesan makan pihak resto tuju tpi restonya malah tutup batal pesan tidak bagaimana padahal tutup loh,negatif
driver nya baik,5,driver baik,positif
senang sekali pokoknya,5,senang sekali pokok,positif
I love U full full I love U,5,love full full love,positif
Aplikasinya cocok untuk yang tidak masak di kos maupun rumah karena aplikasinya membantu kita keluar dengan cepat dan beli makanan dengan harga yang terjangkau,5,aplikasi cocok tidak masak kos maupun rumah aplikasi bantu keluar cepat beli makan harga jangkau,positif
"saldo saya kepotong dan ga balik setelah batalin transaksi, udah laporan berkali-kali tetep sama aja responsnya. keterangan udah refund tapi saldonya ga balik. mengecewakan :(",1,saldo potong tidak balik batalin transaksi lapor kali kali tetep sama respons terang refund saldo tidak balik kecewa,negatif
terima kasih pak Nadiem ada gojek,5,terima kasih pak nadiem gojek,positif
jossgandos,5,jossgandos,positif
jos jos,5,jos jos,positif
lamaa untuk respon complain cust.,1,lamaa respon complain cust,negatif
Beda orang beda cara nyetir.,5,beda orang beda cara nyetir,positif
aman berkendra dan bisa di butuhkan dimanapun,5,aman berkendra butuh mana,positif
tidak bisa chat kurir tidak bisa chat cs buruk pokoknya,1,tidak chat kurir tidak chat customer service buruk pokok,negatif
sopan bersih wanggi,5,sopan bersih wanggi,positif
"saya semakin kecewa dengan GO-JEK. Sejak ada peraturan kalo cancel konsumen harus dipotong 3 ribu rupiah, membuat driver2 makin kurang sopan. Ada yg di WA bisa jemput atau tidak saja, tidak mau membalas. Padahal kalo dia bilang tidak bisa, saya tetap bersedia cancel. Saya hanya butuh diberikan kepastian bersedia menjemput atau tidak. MAKIN BURUK SEKALI PELAYANAN GO-JEK",1,makin kecewa go jek sejak atur kalau cancel konsumen potong ribu rupiah buat driver makin kurang sopan wa jemput tidak tidak mau balas padahal kalau bilang tidak tetap sedia cancel butuh beri pasti sedia jemput tidak makin buruk sekali layan go jek,negatif
"saya harap pihak gojek menerapkan sistem denda atau pinalti untuk costumer,karena sengaja tidak ada respon sampai 3 jam,hubungi cs gojek driver ber x x tidak menyelesaikan masalah,sampai pulsa habis., khusus tunai selain saya driver saya juga pelanggan gofood.biar bisa saling menghargai antara driver dan costumer ,terapkan jika tidak membayar kerugian yg di tanggung driver maka akun akan di tangguhkan bahkan di blokir (kasusnya hari ini tiba"" orderan selesai otomatis jadi saya yg menanggung)",1,harap pihak gojek terap sistem denda pinalti costumer sengaja tidak respon jam hubung customer service gojek driver ber tidak selesai masalah pulsa habis khusus tunai driver langgan gofood saling harga driver costumer terap tidak bayar rugi tanggung driver akun tangguh bahkan blokir kasus hari tiba order selesai otomatis jadi tanggung,negatif
"saya pernah ke Surabaya dan tidak memiliki transportasi disana dan saya ingin ke kampung inggris surabaya. Karena saya tidak pernah ke Surabaya saya pun mengetik ""kampung inggris Surabaya"" di gojek dan ketemu lokasi tersebut ,saya memesan dan sampai disana . sesampainya disana saya mendapati bahwa ternyata lokasi tersebut bukanlah kampung inggris Surabaya dan malah ke jembatan plaza, saya bingung lalu mencoba lagi di gojek dengan keyword yang sama hasilnya berbeda lagi",1,pernah surabaya tidak milik transportasi sana kampung inggris surabaya tidak pernah surabaya etik kampung inggris surabaya gojek ketemu lokasi sebut mes sana sampa sana dapat nyata lokasi sebut bukan kampung inggris surabaya malah jembatan plaza bingung lalu coba gojek keyword sama hasil beda,negatif
"Kamis siang kena suspend, kamis sore udah kebuka. Jumat bisa kerja, jumat 11:30 malam kena suspend lagi entah apa alasannya. Sabtu dapat peringatan. Ke kantor operasional gojek, kantor udah tlp pusat & di laporin. Ternyata sama pusat suruh buka secara berkala belum bisa on, udah 3hari gak kerja & gak ada pemasukan. 😭 Semoga aplikasinya ke depan dapat diperbaiki & lebih baik. 🙏",1,kamis siang kena suspend kamis sore buka jumat kerja jumat malam kena suspend entah apa alas sabtu ingat kantor operasional gojek kantor tlp pusat laporin nyata sama pusat suruh buka kala belum on hari tidak kerja tidak pasu moga aplikasi depan baik lebih baik,negatif
banyak voucher murah,5,banyak voucher murah,positif
aplikasinya banyak Pilihan driver nya ramah wangi,5,aplikasi banyak pilih driver ramah wangi,positif
sangatt baguss,5,sangatt bagus,positif
"untuk driver nunul ismail wahyudi, tolong mending sekolahin dulu tuh mulut ngehina orang se gampang itu katanya sarjana, untuk gojek kasih peringatan keras ke driver ini buat didik lebih lanjut soal etika minimal otak nya ga otak udang buat driver nya.",1,driver nunul ismail wahyudi mending sekolahin dulu tuh mulut ngehina orang se gampang kata sarjana gojek kasih ingat keras driver buat didik lebih lanjut soal etika minimal otak tidak otak udang buat driver,negatif
Pelayanan ditingkatkan,5,layan tingkat,positif
ramah mantap,5,ramah mantap,positif
mantap memang karya anak bangsa semangat ya pak nadim,5,mantap memang karya anak bangsa semangat pak nadim,positif
pengen banget punya akun nya atas nama sendiri 🥺,5,ken banget punya akun atas nama sendiri,positif
sangat membantu sekali 🤗🤗,5,sangat bantu sekali,positif
mantaap🤟😘🤟🤛,5,mantaap,positif
"Halo pihak gojek Saya sudah bertahun-tahun menggunakan gojek dari sejak zaman SMA sampai sekarang saya sudah berstatus mahasiswa tapi kenapa sekarang. ketika saya booking 1 kali malah ke booking 2 kali gojek yaaa, saya lihat di riwayat perjalanan hanya satu gojek yang datang ketika saya sampai ditujuan malah gojek lain yang datang menjemput. tolong diperbaiki sistemnya pihak gojek saya merasa tidak enak hati dengan para driver gojek yang merasa dirugikan tetapi karena salah aplikasi nya",1,halo pihak gojek tahun tahun guna gojek sejak zaman sama sekarang status mahasiswa sekarang booking kali malah booking kali gojek yaa lihat riwayat jalan satu gojek datang tuju malah gojek datang jemput baik sistem pihak gojek rasa tidak enak hati driver gojek rasa rugi salah aplikasi,negatif
bagus dan membantu disaat dibutuhkan..,5,bagus bantu saat butuh,positif
supirnya ramah tepat waktu pokoknya mantab,5,supirnya ramah tepat waktu pokok mantab,positif
Faster,4,faster,positif
MAKIN GA JELAS NIH PARA DRIVERNYA SERING NOLAK ORDERAN BANYAK JUGA YG GA RESPON PELANGGAN KADANG DIBIARKAN BEGITU SAJA KYK MOBIL PARKIR GAK PUNYA ATITUDE DRIVER KYK GITU TOLONG DIPERKETAT UNTUK SISTEM KERJA DRIVERNYA,1,makin tidak jelas nih driver sering nolak order banyak tidak respon langgan kadang biar kyk mobil parkir tidak punya atitude driver kyk gitu ketat sistem kerja driver,negatif
"bintang 2 masalahnya pelayanan tidak membantu, padahal dari kemaren sampai sekarang akun saya belum di dowgred, dan saya sudahembuat laporan di aplikasi gopay sampai sekarang belum ada kejelasan nya, satu lagi saya melakukan penarikan malah belum masuk ke gopay",2,bintang masalah layan tidak bantu padahal kemaren sekarang akun belum dowgred sudahembuat lapor aplikasi gopay sekarang belum jelas satu laku tari malah belum masuk gopay,negatif
banyak banget iklannya gasuka.,1,banyak banget iklan gasuka,negatif
"keren lah, perbanyak diskon yapss!! 🫶",5,keren banyak diskon yapss,positif
GAK GUNA!!! DRIVER MOBIL PD GANIAT!!!,1,tidak driver mobil pd ganiat,negatif
aplikasi ini sangat membantu sekali dalam transportasi pokoknya ok,5,aplikasi sangat bantu sekali transportasi pokok,positif
jasa layanan transportasi yang affordable 👍,5,jasa layan transportasi affordable,positif
cepat respon,5,cepat respon,positif
kok eror ini mau bayar2 biasanya lancar..pin 6 yg ada cuma 5..eror knp,1,kok error mau bayar biasa lancar pin cuma error,negatif
"sebenernya gojek bagus si harga nya murah murah tapi driver nya ada yg kasar dan jujur itu bikin ga nyaman, sampe ngata ngatain saya padahal saya ada alasan tertentu. tolong untuk lebih di perhatikan lagi driver nya, min. tapi overall udh bagus kok gojek cuman mungkin hari itu saya lagi apes aja🙏🙏",2,sebenernya gojek bagus si harga murah murah driver kasar jujur bikin tidak nyaman sampe ngata ngatain padahal alas tentu lebih perhati driver admin overall bagus kok gojek cuman mungkin hari apes,negatif
Good job...,5,good job,positif
semoga tambah bnyak promonya,5,moga tambah bnyak promonya,positif
"diver susah di temukan dan lama sekali, saya sudah menunggu dan ga kunjung datang",1,diver susah temu lama sekali tunggu tidak kunjung datang,negatif
sangatlah bagus,5,sangat bagus,positif
gojek memang mantap,5,gojek memang mantap,positif
"sangat bagus dan sangat berguna ,sy pengguna aktif layanan Gojek...tapi sayangnya di Gopinjam, sy dapat kesempatan menggunakan Gopinjam, sy byr tepat waktu dan setelah sy membayar tiba2 sy ditolak dan tidak bisa meminjam lagi, padahal sedang butuh sekali.. jadi kecewa banget sama Gojek",5,sangat bagus sangat guna guna aktif layan gojek sayang gopinjam sempat guna gopinjam byr tepat waktu bayar tiba tolak tidak pinjam padahal sedang butuh sekali jadi kecewa banget sama gojek,positif
topp bnget,5,topp bnget,positif
udh pake plus masih mahal,1,pake plus mahal,negatif
terimakasih banyak jek,5,terimakasih banyak jek,positif
mending sih dari pada grab,5,mending grab,positif
"langganan, tp mkin kesini mkin dikit promo atau voucher nyaa hadehhhh",3,langgan mkin kesini mkin dikit promo voucher nyaa hadehh,netral
"menurut aku bagus yaa, udh berapa hari saya pakai gojek .. driver nya juga pada ramah , luvv 😍🙏",4,bagus yaa berapa hari pakai gojek driver ramah luvv,positif
membantu aku banget kalau lagi gada yang jemput! thanks kpd semua driver and apk,5,bantu banget kalau gada jemput terima kasih kpd semua driver and aplikasi,positif
"error terus ga bisa dipesan, padahal udh di update!!!",1,error terus tidak pes padahal update,negatif
kebanyakan driver ga mau ambil bergerak dan g abisa di hubungi tolong jangan mengecewakan pelanggan terkadang kita pesan sudah menunggu lama tapi driver diam dan ga bisa di hubungi tiba2 di cancel ini yang sangat mengecewakan buat pelanggan.,2,banyak driver tidak mau ambil gerak tidak abisa hubung jangan kecewa langgan terkadang pesan tunggu lama driver diam tidak hubung tiba cancel sangat kecewa buat langgan,negatif
barusan dapan driver yang asik.. perjalanan cepat lancar.. sangat kooperatif sehingga saya datang ke tujuan tepat waktu,5,barusan dap driver asik jalan cepat lancar sangat kooperatif datang tuju tepat waktu,positif
Sangat bagus dalam.pelayanam,5,sangat bagus pelayanam,positif
bagus dan sangat membantu,5,bagus sangat bantu,positif
membantu sekali dalam operational sehari hari,5,bantu sekali operational hari hari,positif
kenapa kalibrasinya rendah terus,5,kalibrasi rendah terus,positif
bagusss semoga makin banyak promo,5,bagus moga makin banyak promo,positif
mempermudah easy lancar,5,mudah easy lancar,positif
"Di mohon untuk GO-JEK... khususnya GO-RIDE, sekarang ini knp rute selalu di alihkan yg terjauh...padahal yg terdekat ada shrusnya menghemat waktu ini malah di buat muter2 makan waktu... jujur makin kesini kok saya gak respek y sm GO-JEK, padahal para driver seneng klu dpt orderan saya, mereka berharap jgn di cancel... krn PRIORITAS",2,mohon go jek khusus go ride sekarang rute selalu alih jauh padahal dekat shrusnya hemat waktu malah buat muter makan waktu jujur makin kesini kok tidak respek sama go jek padahal driver neng klu order harap jangan cancel prioritas,negatif
"aplikasi gajelas, pencarian driver nya kurang responsif di jam 6.00-7.15, padahal itu jam' anak sekolah berangkat. memang harga terjangkau, tapi pencarian nya kurang responsif.",1,aplikasi gajelas cari driver kurang responsif jam padahal jam anak sekolah berangkat memang harga jangkau cari kurang responsif,negatif
"rata2 driver nya sopan, kendaraan bersih",5,rata driver sopan kendara bersih,positif
yah diskonan nya mantep,5,yah diskon mantep,positif
"Serius deh buat aplikasi2 pembelian kek shopee, gojek, dll tolong lah kalau masang iklan tu jangan yang tiba-tiba masuk ke aplikasi padahal ngga dipencet. aku lagi di aplikasi lain terus nonton iklan buat dapatin fitur/item disana terus ku taruh aja di lantai karna sambil ngerjain hal lain. eh ternyata iklan gojeknya langsung masuk ke aplikasi. karna ga sadar ketekan sama kakiku tiba-tiba pas kuliat lagi udah kepesan gofood. mana mahal lagi 80an rb cuma buat 5 pcs somay ama kulit crispy",1,serius buat aplikasi beli kek shopee gojek kalau masang iklan tu jangan tiba tiba masuk aplikasi padahal tidak pencet aplikasi terus nonton iklan buat dapatin fitur item sana terus ku taruh lantai ngerjain eh nyata iklan gojek langsung masuk aplikasi tidak sadar tekan sama kaki tiba tiba pas liat pes gofood mana mahal an rb cuma buat pcs somay ama kulit crispy,negatif
Driver sering stuck,2,driver sering stuck,negatif
"aplikasi yg sangat bagus karena bisa bikin driver kena sanksi, kena suspend. Terimakasih aplikator 🤣",1,aplikasi sangat bagus bikin driver kena sanksi kena suspend terimakasih aplikator,negatif
tingkatkan orderan,5,tingkat order,positif
enak,5,enak,positif
pesanan selalu di batalin,1,pesan selalu batalin,negatif
Tolong perjelas perbedaan antara GoFood biasa dan GoFood Katering. Tampilannya cukup membingungkan sehingga saya sempat mengira sedang memesan makanan biasa. Akan lebih baik jika ada penjelasan yang lebih jelas atau konfirmasi tambahan sebelum pengguna masuk ke menu katering.,3,jelas beda gofood biasa gofood katering tampil cukup bingung sempat ira sedang mes makan biasa lebih baik jelas lebih jelas konfirmasi tambah guna masuk menu katering,netral
"Aplikasi Tolol,Penipu,Pemeras customer,kita di tawarin berlangganan gojek plus biar dapat potongan ongkir dari ongkir nya yg gak ngotak itu,giliran udh berlangganan tau nya gak bisa di pake di banyak resto,mana mau minta bantuan susah bgt,yg dia kasih cuma opsi pembatalan berlangganan(tanpa refund),untuk masalah/kendala mereka gak mau tau,untuk sekedar menghubungi CS aja sulit nya minta ampun,kita gak bisa ngetik masalah nya,cuma di suruh pilih pesan otomatis yg gak sesuai permasalahan kita",1,aplikasi tolol tipu peras customer tawarin langgan gojek plus potong ongkir ongkir tidak ngotak gilir langgan tau tidak pake banyak resto mana mau minta bantu susah banget kasih cuma opsi batal langgan tanpa refund masalah kendala tidak mau tau dar hubung customer service sulit minta ampun tidak ngetik masalah cuma suruh pilih pesan otomatis tidak sesuai masalah,negatif
oi habis update jadi sering blank error,1,oi habis update jadi sering blank error,negatif
"Udah beberapa hari promo buat gofood hilang, ternyata saat ditanya ke cs akun saya melakukan penyalahgunaan promo. Saya gatau penyalahgunaan promonya seperti apa karena selama memesan makanan di gojek saya hanya memakai fitur promo yang tersedia. Jika bisa digunakan ya saya gunakan Jujur sedih sekali karena saya sudah sering pesan makanan di gojek",2,beberapa hari promo buat gofood hilang nyata tanya customer service akun laku penyalahgunaan promo gatau penyalahgunaan promonya apa lama mes makan gojek pakai fitur promo sedia guna guna jujur sedih sekali sering pesan makan gojek,negatif
memudahkan kebutuhan sehari-hari,4,mudah butuh hari hari,positif
mantabs,5,mantabs,positif
Very Good,5,very good,positif
jelek gajelas,1,jelek gajelas,negatif
saya kurangi bintangnya sebab beberapa kali driver menerima orderan tapi mobilnya nggak jalan2 walau udah lama nunggu.,2,kurang bintang beberapa kali driver terima order mobil tidak jalan walaupun lama nunggu,negatif
"pelayanan nya kurang, pencarian driver nya lama,udh gitu drivernya tiba2 di ganti",1,layan kurang cari driver lama gitu driver tiba ganti,negatif
"aneh, pake ongkir yang murah selalu di batalin alasannya ga dapat driver, kenapa ga hapus aja sekalian biar gausah ada tu ongkir murah?",1,aneh pake ongkir murah selalu batalin alas tidak driver tidak hapus sekali gausah tu ongkir murah,negatif
endulll ajee gtu,5,endull ajee gtu,positif
"Makin kesini makin parah nih Gojek, saya order makanan via Gofood, dari Resto udah ready. Hampir 1 jam ga ada yang ambil orderan. Padahal deket jarak resto.",1,makin kesini makin parah nih gojek order makan via gofood resto ready hampir jam tidak ambil order padahal deket jarak resto,negatif
sering2 dikasih promo donk,4,sering kasih promo donk,positif
cuma menuhin memori,1,cuma menuhin memori,negatif
"lancaaaaaarrrrr jayaaaa,.....?! """,5,lancaarr jayaa,positif
membantu org yg tidak bisa berkendaraan beli makan😍😍😍,5,bantu orang tidak kendara beli makan,positif
Kenapa ada hemat kalau gak bisa dipakai,1,hemat kalau tidak pakai,negatif
"aku download nih gojek demi mainin game doang, karena ada kendala Mulu mau pencet check in gak bisa di pencet tolong perbaiki dong 🙂",3,download nih gojek mainin game doang kendala mulu mau pencet check in tidak pencet baik,netral
semoga pak Nadim sehat selalu,5,moga pak nadim sehat selalu,positif
aplikasi boot,1,aplikasi boot,negatif
no komen udah liat kan bintaangnya siapa?,5,no komen liat kan bintaangnya siapa,positif
driver sibuk mulu apa aplikasinya yg jelek sih?,1,driver sibuk mulu apa aplikasi jelek,negatif
"4dulu,Bru pake soalnya",4,dulu bru pake soal,positif
"Sangat mengecewakan! Saya sudah menunggu lama sekali berharap ada driver yang menerima pesanan, tapi tidak ada satu pun. Yang lebih parah, saya juga harus menunggu sangat lama hanya untuk bisa membatalkan pesanan. Waktu saya benar-benar terbuang sia-sia. Kejadian ini bahkan sudah terjadi dua kali. Kalau memang tidak ada driver yang tersedia, kenapa pelanggan harus terus disuruh menunggu tanpa kepastian? Sangat merugikan dan benar-benar membuat frustrasi. Tolong perbaiki sistemnya.",1,sangat kecewa tunggu lama sekali harap driver terima pesan tidak satu lebih parah tunggu sangat lama batal pesan waktu benar benar buang sia sia jadi bahkan jadi kali kalau memang tidak driver sedia langgan terus suruh tunggu tanpa pasti sangat rugi benar benar buat frustrasi baik sistem,negatif
"sebagai pelanggan lama , saya kecewa akhir2 ini susah cari driver wlpn prioritas.. 45 menit cari driver tidak ada sehingga trrpaksa jalan sendiri menitip kendaraan....",2,langgan lama kecewa akhir susah cari driver wlpn prioritas menit cari driver tidak trrpaksa jalan sendiri titip kendara,negatif
mantap..mnjangkau sampai ke pelosok desa pelayanannya 👍👍,5,mantap mnjangkau pelosok desa layan,positif
aplikasiny skrg lelet banget,2,aplikasiny sekarang lambat banget,negatif
"tolong la buat driver² nya kalo kita make promo jangan ngedumel gajelas, marah² gajelas, kan kita makai aplikasi ini karna bnyk vocer murah nya",4,la buat driver kalau make promo jangan ngedumel gajelas marah gajelas kan maka aplikasi banyak vocer murah,positif
cepat respon dan nyaman,5,cepat respon nyaman,positif
"kurang, gak ada pembayaran QRIS seperti grab",1,kurang tidak bayar qris grab,negatif
Masalah pada login. saya sudah verifikasi foto berkali kali tetap gagal,1,masalah login verifikasi foto kali kali tetap gagal,negatif
semoga bisa membantu saya,5,moga bantu,positif
sering banget driver gojek/gocar sengaja diem lama sampai 20 menit g gerak2 juga. tp kalau dibatalin penumpang kena denda 3000. g adil banget,1,sering banget driver gojek gocar sengaja diem lama menit tidak gerak kalau dibatalin tumpang kena denda tidak adil banget,negatif
jangan sampai lelah banyak bolo,5,jangan lelah banyak bolo,positif
"tolong ditingkatkan keamananya , ketika saya tidur handphone pun terkunci , masa ada pesanan gofood sendiri , dan saldo saya pun hilang , menjadi makanan yang tidak saya pesan ini sudah yang ke dua kali , buruk banget keamanannya , terjadi pada 12 JULI 2026 .",1,tingkat keamananya tidur handphone kunci masa pesan gofood sendiri saldo hilang jadi makan tidak pesan kali buruk banget aman jadi juli,negatif
pelayanan bagus dan harga terjangkau,5,layan bagus harga jangkau,positif
"maaf jarang sekali saya beri nilai buruk, tapi banyak sekali eror aplikasi, selama penggunaan akhir-akhir ini sangat sering kesulitan driver baik untuk fitur goride maupun gofood. belum lagi driver yang no response lama hingga pernah saya tunggu sampai ada 30 menitan. tolong diperbaiki sistemnya. karena driver tidak response ini biasanya minta cancel tapi gamau ngomong.",2,maaf jarang sekali beri nilai buruk banyak sekali error aplikasi lama guna akhir akhir sangat sering sulit driver baik fitur goride maupun gofood belum driver no response lama hingga pernah tunggu menit baik sistem driver tidak response biasa minta cancel gamau ngomong,negatif
gercep,5,gercep,positif
"pake gojek cepat katanya nunggu driver dateng cuma 2 menit, tapi malah nunggu driver dateng 10 menit buat apa harga nya lebih tinggi kalo waktu tunggu driver nya sama aja",2,pake gojek cepat kata nunggu driver dateng cuma menit malah nunggu driver dateng menit buat apa harga lebih tinggi kalau waktu tunggu driver sama,negatif
cs nya slow respon. komen kalau makanan kurang malah tengah malam di balas.,1,customer service slow respon komen kalau makan kurang malah tengah malam balas,negatif
"Gak usah pakai aplikasi ini lagi, makin ke sini makin pelit promo dan pelayanannya sampah! Pesan makanan pakai layanan hemat malah dapet kurir yang ngedumel gak jelas ke pelanggan. Pesanan juga gak lengkap gak dikasih alat makan. Kapok, mending pindah ke kompetitor sebelah yang promonya melimpah dan drivernya jauh lebih ramah. Aplikasi gak guna, auto uninstall!!!",1,tidak usah pakai aplikasi makin sini makin pelit promo layan sampah pesan makan pakai layan hemat malah kurir ngedumel tidak jelas langgan pesan tidak lengkap tidak kasih alat makan kapok mending pindah kompetitor belah promonya limpah driver jauh lebih ramah aplikasi tidak auto uninstall,negatif
"Gojek cepaat????? Dari tunggu 4 menit, kelar 4 jadi nambah nunggu lagi 7 menit... kelarnambah lagi 7 menit??? berapa menit tuh dijumlah ? gojek bisa hitung gak??? bayar udah beda loh... sampaisy nulis ini masih posisi menunggu loh dari 7 menit kedua nambah lagi.... parah gemblungnya",1,gojek cepaat tunggu menit kelar jadi nambah nunggu menit kelarnambah menit berapa menit tuh jumlah gojek hitung tidak bayar beda loh sampaisy nulis posisi tunggu loh menit dua nambah parah gemblung,negatif
"maaf kenapa rute nya muter muter, padahal ada yang deket (10 menit) , malah dikasi rute yang muter muter alhasil makan waktu 20 menitan. tolong ini ditindaklanjuti ya, masalahnya saya juga ngga bisa pilih rute yang saya mau.",3,maaf rute muter muter padahal deket menit malah kasi rute muter muter alhasil makan waktu menit ditindaklanjuti masalah tidak pilih rute mau,netral
csnya gimana sih ini ada masalah tp chat masih otomatis,1,csnya bagaimana masalah chat otomatis,negatif
"tolong segera di perbaiki dari berbulan bulan lalu tampilan gofood dan goride tidak bisa di buka atau blank, padahal sinyal bagus untuk buka aplikasi lain juga lancar, tolong segera di handle",3,segera baik bulan bulan lalu tampil gofood goride tidak buka blank padahal sinyal bagus buka aplikasi lancar segera handle,netral
"Saya hapus aplikasi ini karena tidak adiknya proses penyelesaian masalah terhadap driver gocar yang merusak kaca spion mobil saya (hanya di edukasi, tidak di suspend apalagi diputus Mitra).",1,hapus aplikasi tidak adik proses selesai masalah driver gocar rusak kaca spion mobil edukasi tidak suspend putus mitra,negatif
perbaiki map nya kadang2 ga benar,4,baik map kadang tidak benar,positif
"parah bangett. tlg edukasi drivernya dong kalo mmg ga mau jemput jangan jalan muter2, buang2 waktu. lebih baik to the point minta cancel",1,parah bangett edukasi driver kalau mmg tidak mau jemput jangan jalan muter buang waktu lebih baik to the point minta cancel,negatif
paling setia nemenin kmna pun,5,paling setia nemenin kmna,positif
aman cepat dan banyak sekali kupon yg bisa di gunakan,5,aman cepat banyak sekali kupon guna,positif
"Terimakasih atas layanan nya , sekarang sudah mudah dan lancar kembali untuk digunakan ☺️🙏🏼",5,terimakasih atas layan sekarang mudah lancar guna,positif
ada gak ya apk selain gojek.mudah ada brand baru .sudah makin mahal apalgi di gofoodnya makin mahal ongkir nya.,5,tidak aplikasi gojek mudah brand baru makin mahal apalgi gofoodnya makin mahal ongkir,positif
"SALDO GOPAYA SAYA KETARIK, SAYA TIDAK DIANTAR KE TEMPAT TUJUAN. KEMBALIKAN SALDO GOPAY SAYA",1,saldo gopaya tarik tidak antar tempat tuju kembali saldo gopay,negatif
saya isi gopay ga masuk,3,isi gopay tidak masuk,netral
"aplikasi taii. setiap gw masuk nih aplikasi bilangnya sinyal gw lemah, pdhl kalo pake aplikasi lain ya kenceng semua sinyal. emang aplikasi ini doang yg lemah. kocak anjir. jadi setiap gw mau beli makan loadingnya nauzubillah lamanya",1,aplikasi taii masuk nih aplikasi bilang sinyal lemah padahal kalau pake aplikasi kenceng semua sinyal memang aplikasi doang lemah kocak anjir jadi mau beli makan loadingnya nauzubillah lama,negatif
bintang lima untuk gojek,5,bintang lima gojek,positif
sangat sangat DERMAWAN,5,sangat sangat dermawan,positif
yaa aplikasi yang sangat membantu,5,yaa aplikasi sangat bantu,positif
"thank you Gocar, all your car are pretty clean and fancy. appreciate it",5,thank you gocar all your car are pretty clean and fancy appreciate it,positif
Mantap aplikasi gojek nya sangat membantu banget developer.,5,mantap aplikasi gojek sangat bantu banget developer,positif
cepat dan mantap,5,cepat mantap,positif
"Diturunkan driver gocar krn ktnya takut dapat bintang 1 dari pelanggan... 
apakah mmg bisa spt itu.... pdhl cuma ditanya knp lama.... trimakasih",5,turun driver gocar ktnya takut bintang langgan mmg spt padahal cuma tanya lama trimakasih,positif
per fek,5,per fek,positif
memudahkan customer kalau mau berpergian sampe depan rumah walau masuk gang,5,mudah customer kalau mau pergi sampe depan rumah walaupun masuk gang,positif
Joooosss buat Gojek,5,jooss buat gojek,positif
tingkatkan terus pelayanan dan kualitas aplikasi yg lebih maju dan modern. kak admin tolong ya.. bagaimana y di notifikasi GO-PAY pribadi ada tagihan aplikasi gameplay... bantu saya untuk menghilangkan tagihan itu bagaimana ya untuk mng hilangkan nya spya tdk kena potongan ketika ada saldo masuk yg sdg di tagih yg otomatis akan terpotong.. Terima kasih ya kak admin gopay,5,tingkat terus layan kualitas aplikasi lebih maju modern kak admin bagaimana notifikasi go pay pribadi tagih aplikasi gameplay bantu hilang tagih bagaimana mng hilang spya tidak kena potong saldo masuk sdg tagih otomatis potong terima kasih kak admin gopay,positif
"banyak oknum"" driver yang ambil orderan tapi gak jalan"" di tempat dia di chat gak di bales tiba"" offline 🤬",2,banyak oknum driver ambil order tidak jalan tempat chat tidak bales tiba offline,negatif
kecepatan kunci Efektitifitas ..,5,cepat kunci efektitifitas,positif
Aplikasi Utama di HPku untuk mengantarku berangkat dan pulang kerja,5,aplikasi utama handphone antar berangkat pulang kerja,positif
gopay paylater knp gak bisa di pakai beli pulsa dan qris ya?,1,gopay paylater tidak pakai beli pulsa qris,negatif
Sat set Cepat sampai,5,sat set cepat,positif
Selamat pagi pak/Bu perusahaan gojek ini di aplikasi gojek Customer tidak ada promo lagi ya semenjak 8% dibanding 20%...tolong lah sistem Gojek di aplikasi playstore di perbaiki lagi...dan Food restoran ya kasih promo ke customer ya pak/Bu perusahaan.,1,selamat pagi pak bu usaha gojek aplikasi gojek customer tidak promo semenjak banding sistem gojek aplikasi playstore baik food restoran kasih promo customer pak bu usaha,negatif
menyenangkan sekali,5,senang sekali,positif
pelayanan pengaduan respon nya buruk,1,layan adu respon buruk,negatif
puas pelayananya,5,puas pelayananya,positif
"membantu, mempermudah segala keperluan",5,bantu mudah segala perlu,positif
servicenya baik. tpi kadang suka kedapatan yg kurang senyum / kurang ramah.,4,servicenya baik tpi kadang suka dapat kurang senyum kurang ramah,positif
top dah,5,bagus dah,positif
oke sekali,5,oke sekali,positif
Gojek nyaman pesanannya,5,gojek nyaman pesan,positif
Terimakasih...,5,terimakasih,positif
"kenapa akun saya, selalu gagal kalo verifikasi muka, untuk masuk ke akun saya",3,akun selalu gagal kalau verifikasi muka masuk akun,netral
"lumayan membantu untuk aktivitas setiap hari, hanya saja terkadang aplikasinya erorr tiba2 LG cari driver koneksi terputus,padahal Kouta banyak jaringan juga penuh, pas berhasil masuk lagi ke aplikasinya, malah langsung dapet 2 driver🫣 kan saya gak enak hati SM drivernya, jadi bingung mau pilih yg mana",4,lumayan bantu aktivitas hari terkadang aplikasi erorr tiba cari driver koneksi putus padahal kouta banyak jaring penuh pas hasil masuk aplikasi malah langsung driver kan tidak enak hati sama driver jadi bingung mau pilih mana,positif
driver y gercep dan ramah tamah,5,driver gercep ramah tamah,positif
